timestep, red, green, robot_middle
30954, [493 596], [457 688], [475 642]
30987, [494 594], [457 687], [475 640]
3102, [437 504], [534 514], [485 509]
31053, [498 593], [458 685], [478 639]
31218, [499 586], [460 677], [479 631]
31251, [499 587], [459 675], [479 631]
31284, [497 586], [459 675], [478 630]
31515, [501 580], [462 671], [481 625]
31581, [503 578], [464 664], [483 621]
31614, [502 577], [465 664], [483 620]
31647, [505 575], [462 662], [483 618]
3168, [433 504], [531 515], [482 509]
31779, [506 572], [465 663], [485 617]
31812, [507 570], [465 660], [486 615]
31845, [506 569], [466 660], [486 614]
31878, [508 566], [465 659], [486 612]
32010, [508 563], [472 656], [490 609]
32175, [509 563], [470 651], [489 607]
32208, [509 561], [470 651], [489 606]
32241, [510 557], [472 649], [491 603]
32274, [511 557], [471 649], [491 603]
32307, [512 555], [471 645], [491 600]
32340, [513 553], [471 646], [492 599]
32373, [512 555], [471 644], [491 599]
33, [533 506], [633 512], [583 509]
3432, [425 503], [522 515], [473 509]
3498, [424 503], [523 515], [473 509]
3564, [421 503], [519 512], [470 507]
3597, [419 503], [517 514], [468 508]
3630, [418 503], [517 514], [467 508]
3927, [408 502], [502 515], [455 508]
3993, [408 503], [503 513], [455 508]
4026, [407 503], [505 515], [456 509]
6072, [341 499], [437 511], [389 505]
6468, [329 498], [424 510], [376 504]
6501, [328 498], [422 510], [375 504]
6534, [327 498], [426 508], [376 503]
6567, [325 498], [423 509], [374 503]
6600, [324 498], [421 509], [372 503]
6666, [322 498], [420 509], [371 503]
7359, [301 497], [395 511], [348 504]
7392, [302 496], [396 510], [349 503]
7425, [301 497], [397 508], [349 502]
7788, [295 497], [393 500], [344 498]
7821, [294 497], [392 499], [343 498]
7854, [293 497], [390 500], [341 498]
7887, [293 497], [386 499], [339 498]
792, [510 507], [607 516], [558 511]
7920, [292 497], [387 497], [339 497]
7986, [291 497], [386 496], [338 496]
8184, [286 497], [386 492], [336 494]
825, [509 506], [607 517], [558 511]
8349, [284 498], [374 487], [329 492]
8382, [283 498], [375 484], [329 491]
8415, [283 497], [375 487], [329 492]
8745, [276 498], [371 475], [323 486]
8844, [274 499], [369 472], [321 485]
